Name	Type	Location	Price
Taijiquan (HealthierSG)	Fitness & Wellness	Bedok CC	From $90.00 to $100.00
Yin Yoga (HealthierSG)	Fitness & Wellness	Bedok CC	From $155.00 to $165.00
Yoga Therapy (HealthierSG)	Fitness & Wellness	Bedok CC	From $115.00 to $125.00
Bedok Town Park	Outdoor & Nature	"Bedok North Ave 3. Bounded by Bedok North Road, Bedok North Avenue 3 and the Pan Island Expressway"	$0.00 
Artistic Expression for Children (Bedok Reservoir - Punggol Crest)	Workshops & Classes	Bedok Reservoir-Punggol Crest RN	$160.00 
BRP Crest RN One Day Cultural Tour 2025 - 29 March 2025	Social & Community Events	Bedok Reservoir-Punggol Crest RN	$5.00 
[Garden RN] 715 Community Garden Jan to Dec 2025	Social & Community Events	Bedok Reservoir-Punggol Garden RN	$60.00 
[Garden RN] 719 Community Garden Jan to Dec 2025	Social & Community Events	Bedok Reservoir-Punggol Garden RN	$60.00 
[Garden RN] 720 Community Garden Jan to Dec 2025	Social & Community Events	Bedok Reservoir-Punggol Garden RN	$60.00 
Heights RN Brisk Walk at Mandai Boardwalk	Social & Community Events	Bedok Reservoir-Punggol Heights RN	$3.00 
Heights RN Movie Screening 2025	Social & Community Events	Bedok Reservoir-Punggol Heights RN	$0.00 
Chair Yoga (HealthierSG) (Bedok Reservoir)	Fitness & Wellness	Bedok Reservoir-Punggol Park Crescent RN	From $70.00 to $75.00
Half Day CPR-AED Certification Course	Workshops & Classes	Bedok Reservoir-Punggol Park Crescent RN	$0.00 
Yoga for Children	Fitness & Wellness	Bedok Reservoir-Punggol Park Crescent RN	From $50.00 to $55.00
"[Parkview RN] Brisk Walk at Mandai Boardwalk - 29 March, Saturday"	Social & Community Events	Bedok Reservoir-Punggol Parkview RN	$3.00 
[Parkview RN] Mammogram Bus Screening - 10 May 2025	Social & Community Events	Bedok Reservoir-Punggol Parkview RN	$0.00 
BRP Rise RN PAssionWave Watersports Try-Outs(March 2025)	Social & Community Events	Bedok Reservoir-Punggol Rise RN	$1.00 
TROPICA SELF-DEFENCE WORKSHOP	Workshops & Classes	Bedok Reservoir-Punggol Tropica NC	$10.00 
WATERVIEW BREAKING OF FAST	Social & Community Events	Bedok Reservoir-Punggol Waterview NC	$0.00 
A World of Make Believe - Creative Little Hands (Bedok South)	Workshops & Classes	Bedok South Horizon RC	From $78.00 to $88.00
March Holiday Universal Studios Singapore Trip	Social & Community Events	Bedok South Horizon RC	From $30.00 to $40.00
Belysa RN Celebrating Raya with Fabric Printing - March 2025	Social & Community Events	Belysa RN	$8.00 
Choa Chu Kang Park	Outdoor & Nature	Beside Kranji Expressway and along Choa Chu Kang Drive	$0.00 
Adult Ballet Class (HealthierSG)	Workshops & Classes	Bidadari CC	From $280.00 to $290.00
Aikido for Kids (Bidadari)	Fitness & Wellness	Bidadari CC	From $110.00 to $120.00
Aroma Stretch (HealthierSG)	Fitness & Wellness	Bidadari CC	From $110.00 to $130.00
Art of Zentangle	Workshops & Classes	Bidadari CC	From $100.00 to $105.00
Basic Baking (Parent-Child) (Bidadari)	Food & Beverage	Bidadari CC	$35.00 
Boogie Bounce Xtreme - Trampoline Fitness (HealthierSG) (Bidadari)	Workshops & Classes	Bidadari CC	From $130.00 to $144.00
Creative Baking Workshop for Children	Food & Beverage	Bidadari CC	$25.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Bidadari CC	From $120.00 to $130.00
Jazz for Juniors (Age 5 to 8 years old)	Workshops & Classes	Bidadari CC	From $270.00 to $280.00
Line Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Bidadari CC	From $80.00 to $90.00
Line Dance (Adult) - Intermediate (HealthierSG)	Workshops & Classes	Bidadari CC	From $80.00 to $90.00
Pilates - Matwork for Beginners (HealthierSG)	Fitness & Wellness	Bidadari CC	From $120.00 to $130.00
Pilates Flow by Piloxing® (HealthierSG)	Fitness & Wellness	Bidadari CC	From $110.00 to $120.00
Piloxing ® (HealthierSG)	Fitness & Wellness	Bidadari CC	From $110.00 to $120.00
Potong Pasir Community Day	Social & Community Events	Bidadari CC	$0.00 
Potong Pasir Explores! Rainforest Wild ASIA	Social & Community Events	Bidadari CC	From $10.00 to $20.00
POUND® (HealthierSG)	Fitness & Wellness	Bidadari CC	From $110.00 to $120.00
Vinyasa Flow Yoga (HealthierSG)	Fitness & Wellness	Bidadari CC	From $132.00 to $142.00
Yin Yoga (HealthierSG)	Fitness & Wellness	Bidadari CC	From $90.00 to $100.00
Yoga for Seniors (HealthierSG)	Fitness & Wellness	Bidadari CC	From $45.00 to $55.00
Yoga Therapy (HealthierSG)	Fitness & Wellness	Bidadari CC	From $120.00 to $130.00
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Bidadari CC	From $90.00 to $100.00
Aikido (HealthierSG) (Bishan)	Fitness & Wellness	Bishan CC	From $100.00 to $112.00
Aikido for Kids (Bishan)	Fitness & Wellness	Bishan CC	From $100.00 to $112.00
