Name,Location,Type,Time,Price
Bollywood Dance For Children,Changi Simei CC,Workshops & Classes,5:00 PM - 6:00 PM,From $75.00 to $85.00
Bollywood Dance For Children,Changi Simei CC,Workshops & Classes,6:00 PM - 7:00 PM,From $75.00 to $85.00
Bollywood Dance For Adults (HealthierSG),Changi Simei CC,Workshops & Classes,11:30 AM - 12:30 PM,From $75.00 to $85.00
KpopX® Fitness (HealthierSG),Changi Simei CC,Workshops & Classes,7:45 PM - 8:45 PM,From $96.00 to $106.00
Zumba® Fitness (HealthierSG),Changi Simei CC,Workshops & Classes,6:30 PM - 7:30 PM,From $90.00 to $100.00
Ballroom Modern (Adult) - Advanced (HealthierSG),Changi Simei CC,Workshops & Classes,8:30 PM - 9:30 PM,From $100.00 to $110.00
Ballroom Modern (Adult) - Intermediate (with Prof T. certs) (HealthierSG),Bukit Timah CC,Workshops & Classes,7:30 PM - 8:30 PM,From $125.00 to $130.00
Ballroom Latin (Adult) - Elementary (with Prof T. certs) (HealthierSG),Bukit Timah CC,Workshops & Classes,8:30 PM - 9:30 PM,From $125.00 to $130.00
KpopX® Fitness (HealthierSG),Bukit Timah CC,Workshops & Classes,10:00 AM - 11:00 AM,From $110.00 to $115.00
Piloxing ® (HealthierSG),Bukit Timah CC,Workshops & Classes,7:00 PM - 8:00 PM,From $110.00 to $120.00
Line Dance (Adult) - Elementary (HealthierSG),Bukit Timah CC,Workshops & Classes,12:30 PM - 2:00 PM,From $50.00 to $55.00
Line Dance (Adult) - Elementary (HealthierSG),Bukit Timah CC,Workshops & Classes,3:30 PM - 5:30 PM,From $65.00 to $70.00
Zumba® Toning (HealthierSG),Bukit Timah CC,Workshops & Classes,10:15 AM - 11:15 AM,From $120.00 to $125.00
Social Dance (Adult) - Intermediate (HealthierSG),Bukit Timah CC,Workshops & Classes,7:45 PM - 9:15 PM,From $70.00 to $75.00
Recreational Folk Dance (Elementary) (HealthierSG),Canberra CC,Workshops & Classes,10:00 AM - 12:00 PM,From $35.00 to $40.00
KpopX® Fitness (HealthierSG),Canberra CC,Workshops & Classes,7:30 PM - 8:30 PM,From $100.00 to $110.00
Zumba® Fitness (HealthierSG),Canberra CC,Workshops & Classes,8:30 PM - 9:30 PM,From $95.00 to $105.00
Line Dance (Adult) - Intermediate (HealthierSG),Canberra CC,Workshops & Classes,6:45 PM - 8:15 PM,From $60.00 to $70.00
Line Dance (Adult) - Elementary (HealthierSG),Canberra CC,Workshops & Classes,8:15 PM - 9:45 PM,From $60.00 to $70.00
Ballet - Primary Level,Canberra CC,Workshops & Classes,6:30 PM - 7:15 PM,From $165.00 to $175.00
Line Dance (Adult) - Intermediate (HealthierSG),Chua Chu Kang Zone 3 RN,Workshops & Classes,7:00 PM - 8:30 PM,From $50.00 to $60.00
Line Dance (Adult) - Elementary (HealthierSG),Chua Chu Kang Zone 3 RN,Workshops & Classes,9:30 AM - 11:00 AM,From $55.00 to $65.00
Indian Dance (Children),Kampong Chai Chee CC,Workshops & Classes,6:30 PM - 7:30 PM,From $180.00 to $190.00
Belly Dance - Elementary (HealthierSG),Kampong Chai Chee CC,Workshops & Classes,7:00 PM - 8:00 PM,From $90.00 to $100.00
Belly Dance - Advanced (HealthierSG),Kampong Chai Chee CC,Workshops & Classes,8:00 PM - 9:00 PM,From $110.00 to $120.00
Active Learning Performing Arts for Kids,Kampong Chai Chee CC,Workshops & Classes,10:00 AM - 11:30 AM,From $50.00 to $60.00
Line Dance (Adult) - Elementary (HealthierSG),Kampong Chai Chee CC,Workshops & Classes,2:00 PM - 4:00 PM,From $40.00 to $50.00
Aerobics (HealthierSG),Kampong Chai Chee CC,Workshops & Classes,7:15 PM - 8:30 PM,From $85.00 to $95.00
Indian Dance (Children),Kampong Chai Chee CC,Workshops & Classes,7:30 PM - 8:30 PM,From $180.00 to $190.00
Line Dance (Adult) - Elementary (HealthierSG),Kampong Kembangan CC,Workshops & Classes,4:30 PM - 6:00 PM,From $48.00 to $60.00
Line Dance (Adult) - Intermediate (HealthierSG),Kampong Kembangan CC,Workshops & Classes,12:30 PM - 2:00 PM,From $50.00 to $60.00
Aerobics (HealthierSG),Kampong Kembangan CC,Workshops & Classes,7:15 PM - 8:15 PM,From $60.00 to $70.00
Ballet (Children) - Grade 3,Kampong Kembangan CC,Workshops & Classes,10:30 AM - 11:30 AM,From $135.00 to $140.00
Ballet (Children) - Grade 4,Kampong Kembangan CC,Workshops & Classes,11:30 AM - 12:30 PM,From $135.00 to $140.00
Ballet (Children) - Grade 5,Kampong Kembangan CC,Workshops & Classes,12:30 PM - 1:45 PM,From $145.00 to $150.00
Ballet (Children) - Primary,Kampong Kembangan CC,Workshops & Classes,2:45 PM - 3:30 PM,From $125.00 to $130.00
Ballet (Children) - Grade 5,Kampong Kembangan CC,Workshops & Classes,9:15 AM - 10:30 AM,From $145.00 to $150.00
Ballet (Children) - Grade 4,Kampong Kembangan CC,Workshops & Classes,10:30 AM - 11:30 AM,From $135.00 to $140.00
Ballet (Children) - Grade 6,Kampong Kembangan CC,Workshops & Classes,11:30 AM - 12:45 PM,From $155.00 to $160.00
Ballet (Majors) - Advanced Foundation,Kampong Kembangan CC,Workshops & Classes,12:45 PM - 2:00 PM,From $185.00 to $190.00
Ballet (Majors) - Advanced 1,Kampong Kembangan CC,Workshops & Classes,2:00 PM - 3:30 PM,From $190.00 to $195.00
Ballet (Children) - Grade 6,Kampong Kembangan CC,Workshops & Classes,3:30 PM - 4:30 PM,From $155.00 to $160.00
Ballet (Children) - Grade 7,Kampong Kembangan CC,Workshops & Classes,4:30 PM - 5:45 PM,From $160.00 to $165.00
Ballet (Majors) - Intermediate,Kampong Kembangan CC,Workshops & Classes,5:45 PM - 7:00 PM,From $180.00 to $185.00
Ballet (Children) - Grade 8,Kampong Kembangan CC,Workshops & Classes,7:00 PM - 8:15 PM,From $170.00 to $175.00
Ballet (Children) - Pre-Primary,Kallang CC,Workshops & Classes,11:00 AM - 11:45 AM,From $16.00 to $17.00
Ballet (Children) - Primary,Kallang CC,Workshops & Classes,5:00 PM - 5:45 PM,From $17.00 to $18.00
